[      60.703][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 01 82 59  | ......p.....Y
[      60.801][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      60.812][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 01 82 59  | ......p.....Y
[      60.911][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      60.922][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 01 82 59  | ......p.....Y
[      61.022][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      61.033][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 01 82 59  | ......p.....Y
[      61.131][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      61.142][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 00 43 99  | ......p....C.
[      61.241][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      61.252][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 01 82 59  | ......p.....Y
[      61.350][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      61.361][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 00 43 99  | ......p....C.
[      61.459][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      61.470][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 00 43 99  | ......p....C.
[      61.573][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      61.682][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      61.793][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      61.902][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      63.597][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      63.608][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 06 C3 9B  | ......p......
[      63.780][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      63.791][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 0F 03 9D  | ......p......
[      63.889][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      63.900][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 04 42 5A  | ......p....BZ
[      64.000][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      64.011][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 05 83 9A  | ......p......
[      64.109][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      64.120][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 0A C3 9E  | ......p......
[      64.218][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      64.229][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 10 42 55  | ......p....BU
